date,type,title,geo
2023,"Visiting Lecturer (October 2023)","Collection Technologies and Human-AI Collaboration","Getty Research Institute, Los Angeles, USA"
2022,Workshop,"Digitale Arbeitstreffen »dive in«, Themenbereich »Verbindung digitaler und analoger Formate«","Kulturstiftung des Bundes"
2021,"Workshop at the »Visualizing Open Access« Summer School","Visualization Review and Critique","FU Berlin in cooperation with Potsdam University of Applied Sciences, HU Berlin and Open Access Büro Berlin"
2020,Workshop,Digitale Strategien für Kultureinrichtungen,"digiS - Forschungs- und Kompetenzzentrum Digitalisierung Berlin"
2019,Seminar,Was soll schon schiefgehen? Kulturtheorie als kritische Gegenwartsreflexion,"Potsdam University of Applied Sciences, Design Department"
2018,Workshop,Promoting the Museum in the Digital Age,"ICOM - International Council of Museums, Capacity Building Programme at Qatar Museums"
2018,Seminar,Active Archives - Engaging Interfaces,"Potsdam University of Applied Sciences - in collaboration with HyperStudio at MIT (Massachusetts Institute of Technology)"
2016,Seminar,Die Regierung des kreativen Körpers und das erschöpfte Selbst,"Potsdam University of Applied Sciences, Design Department"
2016,Workshop,"Zeigen, Nutzen, Explorieren - digitale Sammlungen visualisieren",Servicestelle Digitalisierung Berlin (digiS)
2015,Seminar,Warum Foucault keine Smartwatch trägt,"Potsdam University of Applied Sciences, Design Department"
2015,Workshop,"Was machen mit den Daten? Museumsdisplay und Museum im Display",Servicestelle Digitalisierung Berlin (digiS)
2014 - 2017,Seminar (Co-teaching),Visualisierung kultureller Sammlungen,"Potsdam University of Applied Sciences"